tTrackImages,tTrackimage1_height,tTrackimage1_url,tTracktimage1_width,tTrackimage2_height,tTrackimage2_url,tTracktimage2_width,tTrackimage3_height,tTrackimage3_url,tTracktimage3_width,tTrackexternalurls,tTrackPopularity,tTrackArtist,tTrackname,tTrackuri,tTrackTime,file_name
[],640,https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,640,300,https://i.scdn.co/image/ab67616d00001e02e0b60c608586d88252b8fbc0,300,64,https://i.scdn.co/image/ab67616d00004851e0b60c608586d88252b8fbc0,64,https://open.spotify.com/track/0jvo9CjnbR0lYUDTSNTMiu,69,Taylor Swift,Bejeweled,spotify:track:0jvo9CjnbR0lYUDTSNTMiu,long_term,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,640,300,https://i.scdn.co/image/ab67616d00001e02e0b60c608586d88252b8fbc0,300,64,https://i.scdn.co/image/ab67616d00004851e0b60c608586d88252b8fbc0,64,https://open.spotify.com/track/4g2c7NoTWAOSYDy44l9nub,67,Taylor Swift,Lavender Haze,spotify:track:4g2c7NoTWAOSYDy44l9nub,long_term,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b27390fd9741e1838115cd90b3b6,640,300,https://i.scdn.co/image/ab67616d00001e0290fd9741e1838115cd90b3b6,300,64,https://i.scdn.co/image/ab67616d0000485190fd9741e1838115cd90b3b6,64,https://open.spotify.com/track/2gVhfX2Gy1T9kDuS9azrF7,72,Taylor Swift,willow,spotify:track:2gVhfX2Gy1T9kDuS9azrF7,long_term,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b273efc97c146caf056c85eabeff,640,300,https://i.scdn.co/image/ab67616d00001e02efc97c146caf056c85eabeff,300,64,https://i.scdn.co/image/ab67616d00004851efc97c146caf056c85eabeff,64,https://open.spotify.com/track/6qXBZGMoNHTVIebQDECoY9,47,The Maine,Sticky,spotify:track:6qXBZGMoNHTVIebQDECoY9,long_term,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,640,300,https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647,300,64,https://i.scdn.co/image/ab67616d00004851e787cffec20aa2a396a61647,64,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr,98,Taylor Swift,Cruel Summer,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,long_term,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,640,300,https://i.scdn.co/image/ab67616d00001e02e0b60c608586d88252b8fbc0,300,64,https://i.scdn.co/image/ab67616d00004851e0b60c608586d88252b8fbc0,64,https://open.spotify.com/track/02Zkkf2zMkwRGQjZ7T4p8f,68,Taylor Swift,Anti-Hero,spotify:track:02Zkkf2zMkwRGQjZ7T4p8f,long_term,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,640,300,https://i.scdn.co/image/ab67616d00001e02e0b60c608586d88252b8fbc0,300,64,https://i.scdn.co/image/ab67616d00004851e0b60c608586d88252b8fbc0,64,https://open.spotify.com/track/6wAFvJPpTZVirBKGZ4EnMW,68,Taylor Swift,Glitch,spotify:track:6wAFvJPpTZVirBKGZ4EnMW,long_term,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,640,300,https://i.scdn.co/image/ab67616d00001e0295f754318336a07e85ec59bc,300,64,https://i.scdn.co/image/ab67616d0000485195f754318336a07e85ec59bc,64,https://open.spotify.com/track/6VsvKPJ4xjVNKpI8VVZ3SV,78,Taylor Swift,invisible string,spotify:track:6VsvKPJ4xjVNKpI8VVZ3SV,long_term,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b2732aeed1036278059ed4aeae4d,640,300,https://i.scdn.co/image/ab67616d00001e022aeed1036278059ed4aeae4d,300,64,https://i.scdn.co/image/ab67616d000048512aeed1036278059ed4aeae4d,64,https://open.spotify.com/track/1fNznqiu5d1wLezuTyy1UB,36,Devin Dawson,Whatever Forever Is,spotify:track:1fNznqiu5d1wLezuTyy1UB,long_term,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b2730f02f197e416f0c1dbd94e46,640,300,https://i.scdn.co/image/ab67616d00001e020f02f197e416f0c1dbd94e46,300,64,https://i.scdn.co/image/ab67616d000048510f02f197e416f0c1dbd94e46,64,https://open.spotify.com/track/24xZVbTSffURaVwGfiVTOu,0,Baby Queen,Dover Beach,spotify:track:24xZVbTSffURaVwGfiVTOu,long_term,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b27390fd9741e1838115cd90b3b6,640,300,https://i.scdn.co/image/ab67616d00001e0290fd9741e1838115cd90b3b6,300,64,https://i.scdn.co/image/ab67616d0000485190fd9741e1838115cd90b3b6,64,https://open.spotify.com/track/43Ykum9T72UOPhBN31grpN,69,Taylor Swift,ivy,spotify:track:43Ykum9T72UOPhBN31grpN,long_term,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,640,300,https://i.scdn.co/image/ab67616d00001e0295f754318336a07e85ec59bc,300,64,https://i.scdn.co/image/ab67616d0000485195f754318336a07e85ec59bc,64,https://open.spotify.com/track/0Jlcvv8IykzHaSmj49uNW8,81,Taylor Swift,the 1,spotify:track:0Jlcvv8IykzHaSmj49uNW8,long_term,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b27395a25a5b79a59eba1c8f93ee,640,300,https://i.scdn.co/image/ab67616d00001e0295a25a5b79a59eba1c8f93ee,300,64,https://i.scdn.co/image/ab67616d0000485195a25a5b79a59eba1c8f93ee,64,https://open.spotify.com/track/0NmuYnjETG3u3qx0OmEJev,65,"Nelly, Florida Georgia Line",Lil Bit,spotify:track:0NmuYnjETG3u3qx0OmEJev,long_term,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,640,300,https://i.scdn.co/image/ab67616d00001e0295f754318336a07e85ec59bc,300,64,https://i.scdn.co/image/ab67616d0000485195f754318336a07e85ec59bc,64,https://open.spotify.com/track/3hUxzQpSfdDqwM3ZTFQY0K,88,Taylor Swift,august,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,long_term,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b27390fd9741e1838115cd90b3b6,640,300,https://i.scdn.co/image/ab67616d00001e0290fd9741e1838115cd90b3b6,300,64,https://i.scdn.co/image/ab67616d0000485190fd9741e1838115cd90b3b6,64,https://open.spotify.com/track/3Dby3p1m6IOZn2gIIqECgK,70,Taylor Swift,gold rush,spotify:track:3Dby3p1m6IOZn2gIIqECgK,long_term,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,640,300,https://i.scdn.co/image/ab67616d00001e02e0b60c608586d88252b8fbc0,300,64,https://i.scdn.co/image/ab67616d00004851e0b60c608586d88252b8fbc0,64,https://open.spotify.com/track/199E1RRrVmVTQqBXih5qRC,67,Taylor Swift,Maroon,spotify:track:199E1RRrVmVTQqBXih5qRC,long_term,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b27390fd9741e1838115cd90b3b6,640,300,https://i.scdn.co/image/ab67616d00001e0290fd9741e1838115cd90b3b6,300,64,https://i.scdn.co/image/ab67616d0000485190fd9741e1838115cd90b3b6,64,https://open.spotify.com/track/6sQckd3Z8NPxVVKUnavY1F,71,Taylor Swift,‘tis the damn season,spotify:track:6sQckd3Z8NPxVVKUnavY1F,long_term,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b27390fd9741e1838115cd90b3b6,640,300,https://i.scdn.co/image/ab67616d00001e0290fd9741e1838115cd90b3b6,300,64,https://i.scdn.co/image/ab67616d0000485190fd9741e1838115cd90b3b6,64,https://open.spotify.com/track/1gcyHQpBQ1lfXGdhZmWrHP,73,Taylor Swift,champagne problems,spotify:track:1gcyHQpBQ1lfXGdhZmWrHP,long_term,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,640,300,https://i.scdn.co/image/ab67616d00001e0295f754318336a07e85ec59bc,300,64,https://i.scdn.co/image/ab67616d0000485195f754318336a07e85ec59bc,64,https://open.spotify.com/track/0ZNU020wNYvgW84iljPkPP,79,Taylor Swift,mirrorball,spotify:track:0ZNU020wNYvgW84iljPkPP,long_term,userProfileDataTracksApp
