tTrackImages,tArtistsexternalurls,tArtistsFollowers,tArtistsid,tArtistsname,tArtistspopularity,tArtiststype,tArtistsuri,tGenre,tArtistsTime,topArtistName,tArtistimage1_height,tArtistimage1_url,tArtistimage1_width,tArtistimage2_height,tArtistimage2_url,tArtistimage2_width,tArtistimage3_height,tArtistimage3_url,tArtistimage3_width,file_name
[],https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx,48190679,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,82,artist,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,"pop, post-teen pop",Long_term,Taylor Swift,640,https://i.scdn.co/image/ab6761610000e5ebc3c753851496854e29abff7a,640,320,https://i.scdn.co/image/ab67616100005174c3c753851496854e29abff7a,320,160,https://i.scdn.co/image/ab6761610000f178c3c753851496854e29abff7a,160,userProfileDataLongArtists
[],https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG,33784377,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,88,artist,spotify:artist:1McMsnEElThX1knmY4oliG,pop,Long_term,Taylor Swift,640,https://i.scdn.co/image/ab6761610000e5ebe03a98785f3658f0b6461ec4,640,320,https://i.scdn.co/image/ab67616100005174e03a98785f3658f0b6461ec4,320,160,https://i.scdn.co/image/ab6761610000f178e03a98785f3658f0b6461ec4,160,userProfileDataLongArtists
[],https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X,31921822,6jJ0s89eD6GaHleKKya26X,Katy Perry,84,artist,spotify:artist:6jJ0s89eD6GaHleKKya26X,pop,Long_term,Taylor Swift,640,https://i.scdn.co/image/ab6761610000e5ebdc9dcb7e4a97b4552e1224d6,640,320,https://i.scdn.co/image/ab67616100005174dc9dcb7e4a97b4552e1224d6,320,160,https://i.scdn.co/image/ab6761610000f178dc9dcb7e4a97b4552e1224d6,160,userProfileDataLongArtists
[],https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,94915283,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,92,artist,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,pop,Long_term,Taylor Swift,640,https://i.scdn.co/image/ab6761610000e5eb40b5c07ab77b6b1a9075fdc0,640,320,https://i.scdn.co/image/ab6761610000517440b5c07ab77b6b1a9075fdc0,320,160,https://i.scdn.co/image/ab6761610000f17840b5c07ab77b6b1a9075fdc0,160,userProfileDataLongArtists
[],https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3,31400064,6KImCVD70vtIoJWnq6nGn3,Harry Styles,84,artist,spotify:artist:6KImCVD70vtIoJWnq6nGn3,pop,Long_term,Taylor Swift,640,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,640,320,https://i.scdn.co/image/ab67616100005174f7db7c8ede90a019c54590bb,320,160,https://i.scdn.co/image/ab6761610000f178f7db7c8ede90a019c54590bb,160,userProfileDataLongArtists
[],https://open.spotify.com/artist/3GBPw9NK25X1Wt2OUvOwY3,3696322,3GBPw9NK25X1Wt2OUvOwY3,Jack Johnson,75,artist,spotify:artist:3GBPw9NK25X1Wt2OUvOwY3,neo mellow,Long_term,John Mayer,640,https://i.scdn.co/image/ab6761610000e5eb9555a0b3231117c8cde1fca7,640,320,https://i.scdn.co/image/ab676161000051749555a0b3231117c8cde1fca7,320,160,https://i.scdn.co/image/ab6761610000f1789555a0b3231117c8cde1fca7,160,userProfileDataLongArtists
[],https://open.spotify.com/artist/4phGZZrJZRo4ElhRtViYdl,7083085,4phGZZrJZRo4ElhRtViYdl,Jason Mraz,72,artist,spotify:artist:4phGZZrJZRo4ElhRtViYdl,"acoustic pop, dance pop, neo mellow, pop",Long_term,John Mayer,640,https://i.scdn.co/image/ab6761610000e5ebc3b370fc26c83312db52af14,640,320,https://i.scdn.co/image/ab67616100005174c3b370fc26c83312db52af14,320,160,https://i.scdn.co/image/ab6761610000f178c3b370fc26c83312db52af14,160,userProfileDataLongArtists
[],https://open.spotify.com/artist/5DYAABs8rkY9VhwtENoQCz,1248536,5DYAABs8rkY9VhwtENoQCz,Gavin DeGraw,60,artist,spotify:artist:5DYAABs8rkY9VhwtENoQCz,"neo mellow, pop rock",Long_term,John Mayer,640,https://i.scdn.co/image/ab6761610000e5eba79c060a14915e9c2e1b4518,640,320,https://i.scdn.co/image/ab67616100005174a79c060a14915e9c2e1b4518,320,160,https://i.scdn.co/image/ab6761610000f178a79c060a14915e9c2e1b4518,160,userProfileDataLongArtists
[],https://open.spotify.com/artist/68xuC1qXRhCUvGd4SSM655,128858,68xuC1qXRhCUvGd4SSM655,John Mayer Trio,0,artist,spotify:artist:68xuC1qXRhCUvGd4SSM655,modern blues,Long_term,John Mayer,640,https://i.scdn.co/image/ab67616d0000b2732c044b0dec365f990af906ad,640,300,https://i.scdn.co/image/ab67616d00001e022c044b0dec365f990af906ad,300,64,https://i.scdn.co/image/ab67616d000048512c044b0dec365f990af906ad,64,userProfileDataLongArtists
[],https://open.spotify.com/artist/6aZyMrc4doVtZyKNilOmwu,2457239,6aZyMrc4doVtZyKNilOmwu,Colbie Caillat,67,artist,spotify:artist:6aZyMrc4doVtZyKNilOmwu,"dance pop, neo mellow, pop",Long_term,John Mayer,640,https://i.scdn.co/image/ab6761610000e5eb08635ff0ed30023d2ee764a1,640,320,https://i.scdn.co/image/ab6761610000517408635ff0ed30023d2ee764a1,320,160,https://i.scdn.co/image/ab6761610000f17808635ff0ed30023d2ee764a1,160,userProfileDataLongArtists
