tTrackImages,tArtistimage1_height,tArtistimage1_url,tArtistimage1_width,tArtistimage2_height,tArtistimage2_url,tArtistimage2_width,tArtistimage3_height,tArtistimage3_url,tArtistimage3_width,tArtistsexternalurls,tArtistsFollowers,tArtistsid,tArtistsname,tArtistspopularity,tArtiststype,tArtistsuri,tGenre,tArtistsTime,file_name
[],640,https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4,640,320,https://i.scdn.co/image/ab67616100005174859e4c14fa59296c8649e0e4,320,160,https://i.scdn.co/image/ab6761610000f178859e4c14fa59296c8649e0e4,160,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,103979145,06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,artist,spotify:artist:06HL4z0CvFAxyc27GXpf02,pop,Long_term,userProfileDataLongArtists
[],640,https://i.scdn.co/image/ab6761610000e5ebe926dd683e1700a6d65bd835,640,320,https://i.scdn.co/image/ab67616100005174e926dd683e1700a6d65bd835,320,160,https://i.scdn.co/image/ab6761610000f178e926dd683e1700a6d65bd835,160,https://open.spotify.com/artist/0hEurMDQu99nJRq8pTxO14,5888958,0hEurMDQu99nJRq8pTxO14,John Mayer,76,artist,spotify:artist:0hEurMDQu99nJRq8pTxO14,"neo mellow, singer-songwriter",Long_term,userProfileDataLongArtists
[],640,https://i.scdn.co/image/ab6761610000e5ebcdb9694bfa4a026ee19426ae,640,320,https://i.scdn.co/image/ab67616100005174cdb9694bfa4a026ee19426ae,320,160,https://i.scdn.co/image/ab6761610000f178cdb9694bfa4a026ee19426ae,160,https://open.spotify.com/artist/4oUHIQIBe0LHzYfvXNW4QM,8689890,4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,87,artist,spotify:artist:4oUHIQIBe0LHzYfvXNW4QM,contemporary country,Long_term,userProfileDataLongArtists
[],640,https://i.scdn.co/image/ab6761610000e5ebb4ba86c361191d48cbeb4b32,640,320,https://i.scdn.co/image/ab67616100005174b4ba86c361191d48cbeb4b32,320,160,https://i.scdn.co/image/ab6761610000f178b4ba86c361191d48cbeb4b32,160,https://open.spotify.com/artist/5YGY8feqx7naU7z4HrwZM6,23287042,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,85,artist,spotify:artist:5YGY8feqx7naU7z4HrwZM6,pop,Long_term,userProfileDataLongArtists
[],640,https://i.scdn.co/image/ab6761610000e5eb6b1e8135b0741308a3f38ded,640,320,https://i.scdn.co/image/ab676161000051746b1e8135b0741308a3f38ded,320,160,https://i.scdn.co/image/ab6761610000f1786b1e8135b0741308a3f38ded,160,https://open.spotify.com/artist/6TcnmlCSxihzWOQJ8k0rNS,1529443,6TcnmlCSxihzWOQJ8k0rNS,Third Eye Blind,63,artist,spotify:artist:6TcnmlCSxihzWOQJ8k0rNS,"alternative metal, alternative rock, pop rock, post-grunge",Long_term,userProfileDataLongArtists
[],640,https://i.scdn.co/image/ab6761610000e5ebc548c7ff983f25641dc71ffe,640,320,https://i.scdn.co/image/ab67616100005174c548c7ff983f25641dc71ffe,320,160,https://i.scdn.co/image/ab6761610000f178c548c7ff983f25641dc71ffe,160,https://open.spotify.com/artist/70kkdajctXSbqSMJbQO424,1334269,70kkdajctXSbqSMJbQO424,Kacey Musgraves,78,artist,spotify:artist:70kkdajctXSbqSMJbQO424,"classic texas country, contemporary country, country dawn",Long_term,userProfileDataLongArtists
[],640,https://i.scdn.co/image/ab6761610000e5ebc1c077c305eb4b2bcac25fd5,640,320,https://i.scdn.co/image/ab67616100005174c1c077c305eb4b2bcac25fd5,320,160,https://i.scdn.co/image/ab6761610000f178c1c077c305eb4b2bcac25fd5,160,https://open.spotify.com/artist/4xFUf1FHVy696Q1JQZMTRj,5835908,4xFUf1FHVy696Q1JQZMTRj,Carrie Underwood,70,artist,spotify:artist:4xFUf1FHVy696Q1JQZMTRj,"classic oklahoma country, contemporary country, country, country dawn, dance pop, pop",Long_term,userProfileDataLongArtists
[],640,https://i.scdn.co/image/ab6761610000e5eb99e4fca7c0b7cb166d915789,640,320,https://i.scdn.co/image/ab6761610000517499e4fca7c0b7cb166d915789,320,160,https://i.scdn.co/image/ab6761610000f17899e4fca7c0b7cb166d915789,160,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H,58608009,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,90,artist,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,"barbadian pop, pop, urban contemporary",Long_term,userProfileDataLongArtists
[],640,https://i.scdn.co/image/ab6761610000e5eb2d272d590f12c1b594ef7aca,640,320,https://i.scdn.co/image/ab676161000051742d272d590f12c1b594ef7aca,320,160,https://i.scdn.co/image/ab6761610000f1782d272d590f12c1b594ef7aca,160,https://open.spotify.com/artist/5QNm7E7RU2m64l6Gliu8Oy,791152,5QNm7E7RU2m64l6Gliu8Oy,HARDY,73,artist,spotify:artist:5QNm7E7RU2m64l6Gliu8Oy,"contemporary country, modern country pop",Long_term,userProfileDataLongArtists
[],640,https://i.scdn.co/image/ab6761610000e5eb2b7962ada66cbea99dcb0caa,640,320,https://i.scdn.co/image/ab676161000051742b7962ada66cbea99dcb0caa,320,160,https://i.scdn.co/image/ab6761610000f1782b7962ada66cbea99dcb0caa,160,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m,36572946,6vWDO969PvNqNYHIOW5v0m,Beyoncé,87,artist,spotify:artist:6vWDO969PvNqNYHIOW5v0m,"pop, r&b",Long_term,userProfileDataLongArtists
